Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal,Home_Odds,Draw_Odds,Away_Odds
13.05.2007,2006,Blackburn,Reading,3,3,1.89,3.37,3.63
13.05.2007,2006,Bolton,Aston Villa,2,2,2.04,3.22,3.44
13.05.2007,2006,Chelsea,Everton,1,1,1.61,3.48,5.44
13.05.2007,2006,Liverpool,Charlton,2,2,1.35,4.59,8.60
13.05.2007,2006,Manchester Utd,West Ham,0,1,1.70,3.33,4.99
13.05.2007,2006,Middlesbrough,Fulham,3,1,1.83,3.31,4.22
13.05.2007,2006,Portsmouth,Arsenal,0,0,2.69,3.29,2.40
13.05.2007,2006,Sheffield Utd,Wigan,1,2,2.21,3.30,2.99
13.05.2007,2006,Tottenham,Manchester City,2,1,1.47,3.82,6.97
13.05.2007,2006,Watford,Newcastle,1,1,2.58,3.22,2.58
10.05.2007,2006,Tottenham,Blackburn,1,1,1.77,3.42,4.39
09.05.2007,2006,Chelsea,Manchester Utd,0,0,NA,NA,NA
07.05.2007,2006,Charlton,Tottenham,0,2,3.19,3.41,2.09
06.05.2007,2006,Arsenal,Chelsea,1,1,2.50,3.25,2.75
05.05.2007,2006,Aston Villa,Sheffield Utd,3,0,1.91,3.21,3.99
05.05.2007,2006,Everton,Portsmouth,3,0,1.89,3.28,3.98
05.05.2007,2006,Fulham,Liverpool,1,0,2.64,3.27,2.50
05.05.2007,2006,Manchester City,Manchester Utd,0,1,6.52,3.69,1.52
05.05.2007,2006,Newcastle,Blackburn,0,2,2.32,3.22,2.90
05.05.2007,2006,Reading,Watford,0,2,1.41,4.11,7.46
05.05.2007,2006,West Ham,Bolton,3,1,2.07,3.33,3.31
05.05.2007,2006,Wigan,Middlesbrough,0,1,2.08,3.23,3.35
30.04.2007,2006,Reading,Newcastle,1,0,1.91,3.34,3.84
29.04.2007,2006,Arsenal,Fulham,3,1,1.36,4.34,8.50
28.04.2007,2006,Blackburn,Charlton,4,1,1.88,3.34,4.06
28.04.2007,2006,Chelsea,Bolton,2,2,1.27,4.82,10.60
28.04.2007,2006,Everton,Manchester Utd,2,4,4.96,3.49,1.67
28.04.2007,2006,Manchester City,Aston Villa,0,2,2.23,3.16,3.10
28.04.2007,2006,Middlesbrough,Tottenham,2,3,2.73,3.26,2.43
28.04.2007,2006,Portsmouth,Liverpool,2,1,2.72,3.19,2.49
28.04.2007,2006,Sheffield Utd,Watford,1,0,1.56,3.65,6.00
28.04.2007,2006,Wigan,West Ham,0,3,2.22,3.30,3.05
22.04.2007,2006,Aston Villa,Portsmouth,0,0,2.14,3.22,3.29
22.04.2007,2006,Newcastle,Chelsea,0,0,7.28,3.83,1.46
21.04.2007,2006,Bolton,Reading,1,3,1.79,3.40,4.27
